numero;lib_grp4
1;
2;Bac S
3;Bac S Sciences de l'Ingénieur
4;Bac S SVT/EAT spécialité SVT
5;Bac S SVT/EAT spécialités Math/Physique/ISN/EAT
6;Parcours particuliers
