numero;detail_forma
1338;Marketing international
1339;Cursus Master en Ingénierie (CMI) :  Physique : rayonnements et instrumentation (RI)
1340;DEFI Mathématiques
1341;DEFI Physique-Chimie
1342;Eco-Gestion Bilingue Anglais
1343;HISTOIRE MAJEURE / mineure italien non débutant
1344;PHILOSOPHIE MAJEURE / mineure italien non débutant
1345;Double Licence LLCER Anglais / Science Politique
1346;Cursus Master en Ingénierie (CMI) : Ingénierie pour l'Aéronautique, les Transports et l'Energétique
1347;LLCER : ITALIEN MAJEURE NON DEBUTANT / mineure philosophie
1348;EIVP
1349;Philosophie Parcours bidisciplinaire binational franco-allemand : Philosophie-Allemand / Philosophie-Lettres
1350;Lettres Parcours bidisciplinaire binational franco-allemand : Lettres-Allemand / Lettres-Anglais / Lettres-Histoire / Lettres-Philosophie
1351;Informatique scientifique / Méthodes Informatiques appliquées à la  gestion des entreprises / Informatique appliquée - Guadeloupe
1352;Langues renforcées, anglais et coréen
1353;Licence Informatique
1354;Histoire et civilisations
1355;LEA Anglais-Roumain
1356;Double licence Lettres - Histoire
1357;Mathématiques
1358;Licence Humanités (Portail Lettres)
1359;Cursus Master en Ingénierie (CMI) : Géosciences Appliquées
1360;Cursus Master en Ingénierie (CMI) : Biologie-Santé
1361;pratique arts plastiques
1362;pratique cinéma documentaire
1363;Humanités et danse
1364;Études allemandes : la germanistique dans une perspective franco-allemande
1365;- Spécialité : Design d'objets, tradition, innovation et recherche
1366;- Spécialité : design d'interaction : web, applications, interface des objets connectés
1367;- Spécialité : Scénographie : théâtre, danse, exposition
1368;- Spécialité : Verre, espace, objet
1369;- Spécialité : Petite échelle architecturale, architecture intérieure et design mobilier
1370;- Spécialité : Design de l'objet et de ses interfaces / Matériaux ? Médiation
1371;- Spécialité : Graphisme et création multimédia / Animation ? Numérique
1372;- Spécialité : Graphismes, textures, recherche & prospective
1373;- Spécialité : Signes graphiques, signalétiques et espace
1374;- Spécialité : Espace habité, ambiance et environnement
1375;Renforcé Masseur Kinésithérapeute
1376;Diplôme d'Initiation à l'Arabe
1377;Biologie Biochimie Terre et Environnement - BBTE : Sciences de la vie et de la terre
1378;Biologie Biochimie Terre et Environnement - BBTE : Sciences de la vie
1379;2 - Mathématiques-Physique-Chimie
1380;14  - Sciences de la terre-Physique-Chimie
1381;1 -  Sc. du langage - Anglais (LLCER)
1382;7 -  Histoire - Géographie et aménagement
1383;Enseignement Physique Chimie
1384;Anglais, Italien. Non débutants
1385;Espagnol, Italien. Non débutants
1386;Franco-allemand
1387;Visual Merchandising
1388;Design d'interface & design interactif
1389;Image et Média numériques
1390;Trilangue Anglais - Allemand - 3ème langue à choix
1391;Trilangue Anglais - Chinois - 3ème langue à choix
1392;Anglais - Mineure Etudes internationales
1393;Anglais - Mineure Italien
1394;Philosophie - Anthropologie - Lettres
1395;Arabe - Mineure Didactique du français langue étrangère
1396;mention Musicologie
1397;mention Lettres
1398;- Spécialité : Modes plurielles : Création vêtements, accessoires, images
1399;- Spécialité 1 : Cadre bâti
1400;- Spécialité 2 : Régie son pour le spectacle vivant
1401;Hydro - esthétique
1402;1 -  Sc. du langage -  Espagnol (LLCER)
1403;2 -  Sc. du langage - LEA anglais/espagnol
1404;BARISTA
1405;Parcours sélectif bi-diplômant DROIT / ECONOMIE-GESTION
1406;- Spécialité : Éditions multi-supports fixes, animées et interactives
1407;SCIENCES DU LANGAGE
1408;LETTRES CLASSIQUES MAJEURE/mineure Histoire
1409;HISTOIRE MAJEURE/mineure Lettres Classiques
1410;LLCER : ALLEMAND MAJEURE NON DEBUTANT /mineure suédois ou norvégien ou danois ou néerlandais
1411;- Spécialité : Objet éditorial et volume imprimé
1412;- Spécialité : Support et images de l'événement
1413;- Spécialité : Design d'interface graphisme
1414;Langues, Littératures & civilisations étrangères et régionales trilangue anglais espagnol + 3ème langue débutant
1415;Double Licence mention Langues, littératures & civilisations étrangères et régionales (LLCER) [Anglais] - mention LLCER [Allemand]
1416;Double-diplôme franco-italien en droit Université de Strasbourg /Université de Ferrara
1417;Anglophone
1418;Droit - Campus d'Orsay
1419;- Spécialité : Création culturelle. Majeure : Graphisme. Mineures : Événement ? Numérique
1420;Licence Arts du spectacle Option Arts plastiques
1421;Licence Arts Plastiques Option Arts du Spectacle
1422;Licence Arts Plastiques Option Histoire de l'Art et Archéologie
1423;administration de projets dans le secteur du tourisme
1424;Réservée aux bac Professionnels
1425;"Double diplôme Licence de Droit - DU ""Common Law"""
1426;Technicien motoriste option Mécanique In Bord
1427;Sciences des Organisations - Madrid
1428;Sciences des Organisations - Programme franco-allemand
1429;Filière intégrée France-Espagne (FIFE)
1430;Bachelor en Management International - French Track
1431;Formation d'ingénieur Bac + 5 - Bac +1/+2
1432;Formation d'ingénieur Bac + 5 - Bac général
1433;Diplôme de design
1434;International BBA - Parcours Business Management - English Track
1435;Double diplôme Franco-allemand Aix-Marseille/Tübingen (TübAix)
1436;Cycle préparatoire ingénieur ESIReims
1437;Bachelor Technologique « Assistant Ingénieur Efficacité Energétique »
1438;Diplôme de premier cycle de l'ENSAD
1439;Physique Sciences pour l'Ingénieur
1440;Physique, Chimie, Sciences de la Terre et Mécanique (PCSTM)
1441;Licence Sciences de la vie
1442;Sociétés et environnement - Martinique
1443;Spécialité : Sculpture sur bois - Créateur-concepteur - volume et décor d?exception
1444;Spécialité : Menuiserie en siège - Créateur-concepteur ? mobilier et décor d?exception
1445;Spécialité : Restauration de mobilier - Créateur-concepteur - décor et restauration en mobiliers d?exception
1446;Comptabilité, contrôle, audit  / Monnaie-Banque-Finance / Management des entreprises / Economie et politique publique - Martinique
1447;Mathématiques-Physique
1448;Mathématiques, physique-chimie
1449;Université de Bordeaux - Bordeaux Métropole
1450;Cinéma Audiovisuel/Son - Option Cinéma Audiovisuel
1451;Formation Design Manager
1452;Droits français et italien - Padoue
1453;Bac STL (Spécialité SPCL)
1454;Double Licence mention Droit - mention Histoire
1455;Mathématiques - Physique SPI
1456;Economie ou Gestion parcours Langues Vivantes
1457;Chimie / Informatique / Mathématiques / Physique / Sciences pour l'Ingénieur (Electronique ou Mécanique)
1458;Droit Limoges
1459;Biomécanique et Activités Physiques et Sportives
1460;Psychologie cognitive et Activités Physiques et Sportives
1461;Mathématiques-Informatique (MI)
1462;Anglais / Italien
1463;Anglais / Portugais
1464;proposée par l'Institut Catholique de Lyon
1465;Italien / Russe
1466;Parcours Sciences de la vie et de la terre
1467;Parcours Science politique
1468;Parcours Lettres modernes
1469;Sciences du Vivant et Environnement  proposée par l'Université Claude Bernard Lyon 1 (site de Lyon)
1470;LLCER :  ANGLAIS
1471;Double Licence Droit - Economie et gestion
1472;parcours activités aquatiques, bien-être santé
1473;LLCER : ITALIEN NON DEBUTANT
1474;LETTRES INFORMATIQUE
1475;Administration économique et sociale - Economie et Gestion - Gestion
1476;Bio et Ecologie générale, Bio cellulaire moléculaire, Sciences de l'environnement, Bio Biotech, Bio Biosanté,TACB
1477;International Chimie-Biologie
1478;Mathématiques Appliquées et Sciences Sociales (Site de Saint Charles)
1479;Sciences exactes et sciences pour l'ingénieur (SESI) Option Renforcé recherche
1480;LLCER Anglais : Université de Brest - Site de Quimper
1481;Physique-Chimie-Mécanique International
1482;Biotechnologies et Agroalimentaire (Cambrai)
1483;Informatique
1484;Droit parcours général : Université de Brest
1485;LEA Anglais, Chinois : Université de Brest
1486;LEA Anglais, Espagnol : Université de Brest - Site de Quimper
1487;Information et communication mineure Allemand
1488;Sciences Humaines et Sociales
1489;Licence Double-Diplôme Chimie, Sciences de la Vie
1490;Double diplôme - Mathématiques, Physique et Sciences pour l'ingénieur - Licence Double-Diplôme Mathématiques, Physique et Applications
1491;DPI  LEA Anglais - Allemand ou Espagnol - Double Diplôme Franco allemand ou espagnol
1492;Droit (ST BRIEUC)
1493;Technologies et Management du Développement Durable Convention avec l?UPHF
1494;Biologie - Informatique
1495;Lutherie des instruments à cordes pincées
1496;Bachelor Manager de la construction
1497;LLCER Etudes Coréennes
1498;Double diplôme Licence mention Humanités [Humanités classiques, art et patrimoine] - Diplôme d'université (DU) Cultures, langues et rhétorique 1
1499;Langues, Littératures et Civilisations Etrangères, parcours Moyen-Orient et Maghreb - Hébreu moderne
1500;MPC (tronc commun en L1 avec Physique-Chimie )
1501;Economie et management
1502;Sciences de l'information et du document
1503;Parcours Ingénieur Microtechniques et Systèmes Intelligents
1504;Classe de mise à niveau pour l'entrée en BTS et les poursuites d'études scientifiques
1505;Anglais / chinois
1506;Bac STL
1507;Langues, littératures et civilisations étrangères et régionales - ARABE - HEBREU
1508;Sociologie mineure découverte en Sciences de l'Education
1509;Sciences pour l?ingénieur franco-allemand - Génie mécanique
1510;Economie - Gestion franco-allemand - Management du Tourisme international
1511;Sciences
1512;Bachelor Ingénierie & numérique - Paris
1513;DU Rebondir, Réagir, Réussir
1514;Lettres modernes mineure Anglais renforcé
1515;Physique Recherche
1516;Sciences de l'Education mineure découverte en Arts et Lettres
1517;Géologie-Chimie
1518;Maths-Physique Sciences pour l'Ingénieur
1519;Physique Sciences pour l'Ingénieur - Chimie
1520;Maths-Biologie
1521;Chimie-Maths
1522;Histoire - Grenoble
1523;Juriste européen Paris Berlin Londres
1524;ESDHEM Economie-Gestion
1525;ESDHEM Droit
1526;Bi-Cursus Ingénieur Informatique Manager du numérique (double diplôme)
1527;MI - Mathématiques, Informatique
1528;Sciences de la Terre et de l'Environnement
1529;Licence - Sciences de la Vie/Sciences de l'environnement (SVSE) option Prépa concours Agro Véto (PCAV)
1530;Tourisme, Hôtellerie, Alimentation (THA)
1531;Bachelor Commerce & Marketing
1532;Economie - Gestion
1533;Licence d'Economie et Gestion - Campus Toulon Centre Ville
1534;Impression 3D - Opérateur de fabrication additive
1535;Chimie et Biochimie
1536;Bachelor du Collège universitaire de Sciences Po - Middle Eastern and Mediterranean programme - English track, campus de Menton
1537;Droit Langues Anglais/Italien
1538;Chimie et sciences biologiques
1539;Chimie et Sciences physiques
1540;NOBEL
1541;Urbanisme et transition énergétique
1542;Economie et gestion : Campus des Comtes de champagne - URCA
1543;Avenir-Sciences Expérimentales
1544;Sciences de l'éducation : INSPE de Reims - Antenne de Châlons-en-Champagne
1545;Bachelor du Collège universitaire de Sciences Po - Programme Europe-Afrique, campus de Reims
1546;Bachelor (Hons.) Management International de l'Hôtellerie, parcours anglophone
1547;DU PAREO
1548;Double diplôme Licence de Droit + Bachelor of Civil Law (Bachelor irlandais)
1549;ORA - s'Orienter, Réfléchir et Agir
1550;Licence accès santé première année BI
1551;Assistant designer web
1552;Humanités littéraires et Sciences sociales / Filière Histoire
1553;Humanités littéraires et Sciences sociales / Filière Lettres
1554;Double diplôme Sciences Po - Hong Kong University
1555;PORTAIL 1ere ANNEE STAPS CUFFIES (éducation et motricité)
1556;Moteurs hors bord haute technicité
1557;Parcours Sciences pour l'ingénieur
1558;Préparatoire au Professorat des écoles (PPPE)
1559;Géologie des ressources et du développement durable
1560;Education, enseignement et formation
1561;Numérique - Parcours Développeur
1562;Anglais - Droit
1563;Cycle préparatoire intégré - option Santé
1564;Sciences et Techniques des Activités Physiques et Sportives - Orléans
1565;Bachelor « Construction »
1566;DU Passeport pour Réussir et s'Orienter (PAREO)
1567;Diplôme supérieur en marketing et communication - option Communication
1568;Préparation aux études scientifiques
1569;Préparation aux études en Sciences Humaines et Economiques
1570;Santé des populations
1571;Biologie, Physique, Chimie
1572;Recherche en santé: outils méthodologiques et enjeux pour la société
1573;Métiers du soin et du social
1574;JURISTE LINGUISTE
1575;Psychologie /Anthropologie / Sciences de l?éducation
1576;Musique - Franco-Allemand
1577;Droit et Histoire de l'Art
1578;Bachelor en Ingénierie Informatique et Cybersécurité - Angers
1579;Bachelor Ingénierie informatique et intelligence artificielle - Angers
1580;Bac Technologiques
1581;Cursus franco-allemand - Droits français et allemand ? programme Sarrebruck
1582;Bacs technologiques
1583;Histoire de l?art et archéologie
1584;Lettres modernes et appliquées ? Arts du spectacle
1585;Musicologie - Musique
1586;LEA Anglais Arabe
1587;LEA Anglais Portugais
1588;LEA Anglais Arabe ? Sciences du langage
1589;LEA Anglais Arabe ? langues renforcées
1590;LEA Anglais Chinois ? langues renforcées
1591;LEA Anglais Portugais ? Sciences du langage
1592;LLCER Arabe ? LLCER Anglais
1593;LLCER Portugais ? LLCER Espagnol
1594;Sociologie ? Psychologie
1595;Sociologie ? Information et communication
1596;Information et communication - Sciences de l?éducation
1597;Administration économique et sociale - Economie et gestion
1598;Administration économique et sociale - LEA Anglais allemand
1599;Administration économique et sociale - LEA Anglais Chinois
1600;Administration économique et sociale - LEA Anglais Portugais
1601;Double diplôme Franco-italien en partenariat avec l'Université de Naples-L'Orientale
1602;BBA
1603;Droit - LEA parcours Anglais / Italien
1604;Double mention DROIT / LANGUES ÉTRANGÈRES APPLIQUÉES
1605;Lettres modernes et appliquées ? Histoire de l?art et archéologie
1606;LEA Anglais allemand ? Administration économique et sociale
1607;LLCER Allemand ? LLCER Anglais
1608;Economie et gestion
1609;Sciences sociales ? Economie et gestion
1610;Géographie et aménagement - Administration économique et sociale
1611;Cycle Préparatoire Non Intégré - Spécialité Généraliste, BTP, Informatique, Systèmes embarqués
1612;LLCER Portugais ? LLCER Anglais
1613;Droit - Administration économique et sociale
1614;DU Parcours Pour la Réussite
1615;Full English Track
1616;Mécanique / Génie civil
1617;Informatique / Mathématiques
1618;Double licence Intelligence Artificielle et Sciences des Organisations
1619;Portail Chimie - Biologie
1620;Bachelor sciences et technologie du bois et des matériaux biosourcés - Parcours Bois et transition numérique de la production
1621;Anglais et mandarin
1622;Arts du spectacle
1623;Double diplôme licence de Droit LLB (Bachelor of Laws Anglais / City University London
1624;R2D2 - Rebondir Réfléchir Découvrir Décider
1625;Portail MPMEI : Mathématiques, Physique, Mathématiques-Economie, Informatique
1626;Biotechnologies, Chimie et Bioéconomie
1627;Programmation informatique pour l'entreprise et l'innovation technologique
1628;Sciences du numérique
1629;BSc in Global Management
1630;Médiateur Numérique auprès des Personnes Vulnérables
1631;Double licence Espagnol - Anglais
1632;Bachelor Développement & Data
1633;Formation Bac+1 - Sécurité privée-Middle management
1634;Mention Physique
1635;Mention Mécanique
1636;Biologie Celullaire, Physiologie, Pathologie / Ecologie, Environnement
1637;Application des sciences / Mathématiques pour l'enseignement  - Guadeloupe
1638;Management entrepreneurial de projet d?activité
1639;Métiers du droit et de l'immobilier
1640;Commercialisation Écoresponsable
1641;Batisseur en éco-matériaux
1642;Cycle préparatoire intégré - Accès Santé
1643;mineure STAPS - Réadaptation : accès Ergothérapie, Orthoptie et Masso-kinésithérapie
1644;Parcours: Sciences expérimentales, environnement et transition écologique -  Sciences humaines, environnement et transition écologique
1645;Parcours: Sciences
1646;Parcours: Ingénierie, Environnement et Société
1647;Droit français - common law - Campus d'Essex
1648;bac STI2D,STL
1649;Bachelor de Technologie Arts et Métiers
1650;Gestion - Bourg - parcours Management et Sciences Humaines (MSH)
1651;LLCER Chinois
1652;LEA Anglais-Japonais
1653;Langues Etrangères Appliquées (LEA) : anglais - chinois
1654;Métiers des langues - Anglais
1655;LEA Anglais- Allemand ou Anglais-Espagnol
1656;Sciences de la vie et de l'environnement
1657;parcours double diplôme international franco-anglais (Jersey)
1658;parcours double diplômant en Economie et en Droit
1659;Bilingue Droit français et droit anglo-saxon
1660;parcours double diplôme international franco-anglais (Essex)
1661;parcours double diplôme international franco-allemand (Manheim - Passau)
1662;parcours double diplôme international franco-espagnol (Barcelone - Valence )
1663;Philosophie mineure Humanités
1664;Portugais (non-débutants)
1665;Economie et sociologie
1666;en 3 ans
1667;Cursus Master en Ingénierie (CMI): Ingénierie et Maintenance des Systèmes pour l'Aéronautique et les Transports (IMSAT)
1668;Licence 1 - Chinois
1669;Licence 1 - Arabe
1670;Licence 1 LEA - Anglais-Portugais
1671;Licence 1 LEA - Anglais-Russe
1672;Licence 1 - Russe trilangue
1673;Licence 1 Histoire de l'art
1674;Espagnol - Arabe
1675;Anglais-Arabe
1676;Anglais-Portugais
1677;Parcours Lettres classiques
1678;Langue, langage et société
1679;Russe - confirmé  (niveau B1/B2 attendu)
1680;Allemand - confirmé
1681;Sciences de Gestion
1682;Mathématiques-Informatique International
1683;Double Licence : Droit-Langues Option Droit administration et politique internationales
1684;Métiers de l'enseignement MEEF ou Maths appliquées et entreprise -IMA
1685;Cursus Master en ingénierie (CMI) Biotechnologies et Agroressources
1686;Droit, Economie
1687;Etudes franco allemandes
1688;Anglais : Langue, Littérature et Civilisation Étrangère
1689;Japonais
1690;Etudes théâtrales
1691;Préparation aux concours d'entrée des I.E.P.
1692;Chinois - LLCER
1693;parcours Loisirs sportifs Eco-Responsables
1694;Anglais/Espagnol
1695;en triple diplôme franco-suisse-allemand
1696;Arts plastiques
1697;Langues étrangères appliquées (LEA) Anglais-Allemand
1698;Études allemandes - Langues et cultures germaniques
1699;Études turques
1700;Langues et interculturalité - Ensemble germanique
1701;Mathématiques et physique approfondies - Magistère (MPA-Mag)
1702;Langues étrangères appliquées, Economie et interculturalité, option Anglais  Allemand
1703;Cultures Littéraires Européennes (C.L.E.)
1704;Éducation
1705;portail Mathématiques / Informatique
1706;Langues, Littératures et Civilisations Etrangères et Régionales Chinois
1707;Langues, Littératures et Civilisations Etrangères et Régionales Italien
1708;Langues Etrangères Appliquées Anglais-Italien
1709;Langues Etrangères Appliquées Anglais-Russe
1710;Langues Etrangères Appliquées Anglais-Polonais
1711;Double Licence Langues Etrangères Appliquées Anglais-Allemand et Gestion parcours Techniques quantitatives et management(TQM)
1712;Double Licence Langues Etrangères Appliquées Anglais-Espagnol et Gestion parcours Management et sciences humaines (MSH)
1713;Double Licence Langues Etrangères Appliquées Anglais-Polonais et Gestion parcours Techniques quantitatives et management (TQM)
1714;Double Licence Langues Etrangères Appliquées Anglais-Chinois et Gestion parcours Techniques quantitatives et management (TQM)
1715;Management et Sciences Humaines (MSH)
1716;Histoire.
1717;Géographie et Aménagement.
1718;LEA anglais / espagnol
1719;Physique (tronc commun en L1 avec Mathématiques et Chimie)
1720;Cinéma : pratique & esthétique
1721;AES - Ressources humaines
1722;Droits français et italien
1723;Théâtre - Mineure Cinéma et Audiovisuel
1724;Lettres - Mineure Professorat des écoles
1725;LEA Anglais - Russe
1726;LEA Anglais - Italien
1727;LEA Anglais - Arabe
1728;LEA  Anglais - Allemand
1729;Double Licence Lettres / Philosophie
1730;Portugais - Mineure Information-Communication
1731;LLCER : RUSSE
1732;ARCHEOLOGIE ET HISTOIRE DE L'ART
1733;MUSIQUE ET MUSICOLOGIE
1734;LLCER : ALLEMAND NON DEBUTANT
1735;LLCER ESPAGNOL - LLCER PORTUGAIS
1736;LETTRES MODERNES - LLCER ESPAGNOL
1737;LLCER ANGLAIS - LLCER ESPAGNOL
1738;HISTOIRE - GEOGRAPHIE
1739;HISTOIRE - LLCER ESPAGNOL
1740;HISTOIRE - LLCER ITALIEN NON DEBUTANT
1741;Géographie, Aménagement, Environnement, Développement
1742;Langues, Littératures et Civilisations,  parcours Asie du Sud-Est et Pacifique -  Filipino
1743;Langues, Littératures et Civilisations Etrangère, parcours Asie du Sud-Est et Pacifique - Siamois (Thaï)
1744;Langues, Littératures et Civilisations,  parcours Asie du Sud-Est et Pacifique - Khmer
1745;Asie du Sud-Est et Pacifique - Vietnamien
1746;Langues, Littératures et Civilisations,  parcours Afrique et océan Indien - Swahili
1747;Europe - Slovène
1748;Langues, Littératures et Civilisations, parcours Europe - Estonien
1749;Eurasie - Pashto
1750;Asie de l?Est - Coréen
1751;Eurasie -  Géorgien
1752;Histoire de l'Art - Anglais
1753;Majeure Droit (Rouen)
1754;Majeure Economie - Mineure Gestion
1755;LANGUES ÉTRANGÈRES APPLIQUÉES : Anglais-Allemand
1756;PHYSIQUE, CHIMIE : Physique-Chimie
1757;SOCIOLOGIE : Sociologie
1758;STAPS - site de Sénart
1759;Portail BI : Biologie - Informatique
1760;Mathématiques et informatique Appliquées aux Sciences Humaines Sociales MIASHS
1761;Mathématiques Générales
1762;STAPS  Limoges
1763;Administration et Gestion des Entreprises, Ressources Humaines
1764;Portail Mathématiques-Physique (MP)
1765;Droit français - droit italien
1766;Droit français - droit russe
1767;Carrières publiques
1768;Histoire -Anglais
1769;Histoire -Espagnol
1770;Droit Espagnol (DU droit espagnol et latino-américain)
1771;Licence Franco-Allemande intégrée en Droit
1772;Droit Anglo-Américain (DU droit anglo-américain)
1773;Biochimie, Biologie moléculaire ou Biologie des Organismes, Ecologie ou Chimie de l'environnement
1774;Etudes hispanophones  - Martinique
1775;Droit général OU Science politique
1776;Agroalimentaire - 5 ans à Rennes
1777;Horticulture - Paysage -  5 ans à Angers
1778;Chinois - Anglais
1779;Histoire bilingue Français-Anglais
1780;Parcours Activités aquatiques pour le bien-être et la santé
1781;LETTRES EDITION MEDIAS AUDIOVISUEL - LLCER ITALIEN NON DEBUTANT
1782;ARCHEOLOGIE  - GEOGRAPHIE
1783;Tronc commun- (Site de Luminy)
1784;Mathématiques et Physique
1785;Sociologie option travail social
1786;Langues, Littératures et Civilisations Orient ancien
1787;Droit & Culture Juridique
1788;PHYSIQUE-CHIMIE
1789;Licence 1 Design
1790;Anglais LLCER
1791;Anglais LLCER Droit et Commerce International
1792;Lettres Modernes et Communication
1793;parcours double diplômant en Droit et en Gestion
1794;Langues Etrangères Appliquées Anglais-Russe - Cursus 4 ans
1795;Bilangue - Biculture
1796;Langues Etrangères Appliquées : Anglais et Espagnol (niveau B1/B2 attendu pour les 2 langues)
1797;Culture juridique
1798;Cursus Master en Ingénierie (CMI) :  Structures et systèmes intelligents
1799;Études nord-européennes : scandinave et néerlandais
1800;INFORMATIQUE,  MATHEMATIQUES, INGENIERIE MATHEMATIQUE ET INFORMATIQUE
1801;Cursus Master en Ingénierie (CMI) :  Ressources en Eau et Environnement
1802;Classe de mise à niveau Cinéma-Audiovisuel
1803;management du sport option journalisme (Académie ESJ)
1804;Cursus Master en Ingénierie (CMI) : Hydrogène Energie et Efficacité Energétique (H3E)
1805;Lettres Classiques et Modernes
1806;parcours double diplôme international franco-italien (Milan - Naples)
1807;Mathématiques générales / Mathématiques, Informatique et Aide à la décision - Martinique
1808;Sociologie, ethnologie et politiques sociales
1809;Anglais/Russe
1810;Double licence Histoire - Lettres
1811;Sciences de l'Homme, Anthropologie, Ethnologie / Arts du spectacle
1812;Théâtre - Mineure Anglais
1813;Droit - Langue
1814;Anglais polonais appliqués aux affaires
1815;Chimie - Cursus intégré franco-allemand avec l'Université de Bielefeld
1816;Cinéma : pratique & esthétique - Gestion
1817;Etudes anglophones - Martinique
1818;Cursus Master Ingénierie : Informatique, Image, Réalité Virtuelle, Interactions et Jeux
1819;Economie et gestion / sociologie
1820;CMI Ingénierie du mouvement humain - Site de Luminy
1821;Double Licence Langues Etrangères Appliquées Anglais-Coréen et Gestion parcours Techniques quantitatives et management (TQM)
1822;Asie du Sud et Himalaya - Télougou
1823;Excellence ENS
1824;CURSUS MASTER EN INGENIERIE Economie Finance Quantitative et Statistique (CMI EFiQuaS)
1825;Histoire et Géographie
1826;Droit - Philosophie
1827;Droit - Histoire
1828;Licence européenne de science politique
1829;parcours double diplôme international franco-anglais (Bangor)
1830;LLCER ALLEMAND NON DEBUTANT - PHILOSOPHIE
1831;Cursus Master en Ingénierie (CMI) : Physique
1832;Allemand Etudes germaniques - Mineures Anglais OU Enseignement et pédagogie
1833;Anglais-Chinois débutant
1834;Sciences et Design
1835;Physique - L1 Antenne Tarbes
1836;Double licence : anglais/italien
1837;Licence 1 Lettres babel: littératures et cultures du monde
1838;Licence 1 Anglais-philosophie
1839;Double Licence : Droit et Philosophie
1840;pluridisciplinaire : histoire, géographie, sociologie, économie
1841;Double licence Physique Chimie
1842;Double licence Economie Géographie
1843;Double licence Chimie - Sciences de la Vie
1844;LLCER : Anglais Europe
1845;Arabe débutant
1846;Langage, Média, Journalisme - partenariat ESJ Pro
1847;Cursus Master en ingénierie (CMI) Informatique et Simulation Numérique
1848;Double licence Sciences de la terre - LLCER Japonais ou Chinois ou Arabe (ASTER)
1849;Histoire et sciences sociales (option préparation IEP) - Saint-Claude - Guadeloupe
1850;Acoustique - parcours Cursus de Master en Ingénierie (CMI) Acoustique
1851;Philosophie - Histoire
1852;Métiers de l?environnement & aménagement du territoire/Métiers de l?expertise éco & managériale/Métiers de l?ingénierie éco & juridique - Guadeloupe
1853;Double licence Sciences de la Terre - Sciences de la Vie
1854;Etude des cultures et pratiques culturelles
1855;LLCER Anglais - Espagnol
1856;Bi-disciplinaire : Philosophie - Allemand
1857;Langues étrangères appliquées, Traduction scientifique et technique, option Anglais  Allemand
1858;Lettres - littérature française, francophone et comparée
1859;Allemand-Anglais
1860;Parcours Mondes anglophones
1861;Economie et Gestion - renforcé
1862;Parcours Marine Nationale/Maistrance-Défense
1863;STAPS site de Vichy
1864;pratique musique
1865;Gestion (formation  en e-learning) - Institut Montpellier Management - MOMA
1866;Football
1867;- Spécialité : Scénarii de l'architecture et des espaces construits
1868;- Spécialité : Prospective, matières et image de mode
1869;- Spécialité : Costume de scène, dramaturgie et mobilité européenne
1870;- Spécialité :  Design, recherche, image
1871;- Spécialité : Création, bijoux contemporains et objets précieux
1872;- Spécialité : Conception et innovation céramique, du prototype au multiple
1873;- Spécialité : Textile, savoir-faire et prospective
1874;Franco-Allemand
1875;- Spécialité : Design d'espace, nouvelles pratiques urbaines
1876;- Spécialité : Sculpture appliquée à l'espace scénique
1877;Cursus Master en Ingénierie (CMI) : Management des réseaux de transport et des mobilités
1878;- Spécialité : Habiter les espaces urbains, naturels et culturels / Paysage ? Scénographie
1879;- Spécialité : Environnement, cadres de vie Publics, Privés et Virtuels
1880;- Spécialité : Illustration, récits et images
1881;Spécialité : Design d'objet innovation sociale
1882;- Spécialité : ARCHITECTURE, PATRIMOINE ET LIEUX CULTURELS
1883;- Spécialité : Systèmes d'identités
1884;Double Licence Informatique/Mathématiques
1885;Mécanique et Matériaux
1886;Collège de Droit de la Sorbonne
1887;Anglais - Chinois
1888;Parcours Armée de Terre
1889;Histoire-Allemand/Etudes germaniques
1890;Droit - IED (ex-CAVEJ)
1891;APAS - Activités physiques adaptées et santé
1892;Pasteur : Chimie, Sciences de la vie, Sciences de la vie et de la terre, Sciences sanitaires et sociales - site de Luminy
1893;International Droit français-droit anglais
1894;Diplôme Universitaire de Préparation Aux Concours de Catégorie B
1895;Cursus Master en Ingénierie (CMI) : Ingénierie Informatique
1896;8 - Sciences de la Vie-Mathématiques-Sciences de la Terre
1897;2 -  Sc. du langage - LEA Anglais/Allemand
1898;5 - Lettres - Anglais (LLCER)
1899;Nivoculteur
1900;Droit - Science Politique
1901;Portail : Chimie, Sciences de la Vie (CSV)
1902;Management international
1903;Double Licence : Philosophie Lettres Classiques
1904;Double licence Cinéma et audiovisuel (CAV) / Etudes théâtrales
1905;Double diplôme international - Licence Etudes interculturelles franco-allemandes (avec la Freie Universität de Berlin) (Langues associées)
1906;Parcours Sciences Politiques : Sociologie
1907;Double diplôme international - Licence Métiers de l'enseignement allemand / français (avec l'Université Koblenz-Landau) (Langues associées)
1908;Trilangue Anglais - Coréen - 3ème langue à choix
1909;Trilangue Anglais - Arabe - 3ème langue à choix
1910;Anglais - Mineure Didactique du français langue étrangère
1911;Histoire - Géographie
1912;Anglais - Mineure Hébreu
1913;Anglais - Mineure Portugais
1914;Espagnol - Mineure Anglais
1915;LEA / Anglais / Italien
1916;Italien - Mineure Anglais
1917;Italien - Mineures Didactique du français langue étrangère OU Etudes internationales
1918;Portugais - Mineure Didactique du français langue étrangère
1919;- Spécialité 1 : Design Editorial, Image, Narration & Interactivité
1920;Spécialité 2 : Graphisme, Supports & Espaces de Médiation
1921;- Spécialité : Dispositifs de scénographie urbaine, commerciale et culturelle
