numero;lib_grp3
1;
2;Bacheliers technologiques toutes séries
3;Bacheliers professionnels toutes séries
4;Candidats lycées étrangers
5;STI2D
6;Bac S SVT/EAT spécialité SVT
7;Bac S
8;Tous les candidats sauf les Bac technologiques et Bac professionnels
9;Bac STI2D - AEI
10;Bac S SVT/EAT spécialités Math/Physique/ISN/EAT
11;Tous les candidats
12;Parcours particuliers
