numero;lib_grp2
1;Autres formations
2;
3;Bacheliers professionnels toutes séries
4;Bacheliers technologiques toutes séries
5;Voie d'accès CEP
6;STI2D
7;Candidats lycées français
8;bac français S
9;Bac S Sciences de l'Ingénieur
10;Série S
11;Parcours particuliers
12;Tous les candidats sauf les Bac technologiques et Bac professionnels
13;Tous les candidats sauf les Bac technologiques
14;Tous les candidats sauf les Bac professionnels
15;Candidats lycées étrangers
16;Toutes les filles
17;Bac S SVT/EAT spécialités Math/Physique/ISN/EAT
18;Bac STI2D - SIN
19;Bac S
20;Bac S SVT/EAT spécialité SVT
21;Tous les garçons
