numero;lib_grp5
1;
2;Bac S SVT/EAT spécialités Math/Physique/ISN/EAT
3;Bac S SVT/EAT spécialité SVT
4;Parcours particuliers
5;Bac S
6;Bac S Sciences de l'Ingénieur
