i,pct_f,type
319,40.0,3.0
320,11.0,7.0
321,33.0,4.0
322,23.0,7.0
323,32.0,7.0
324,80.0,7.0
325,0.0,3.0
326,32.0,3.0
327,16.0,3.0
328,4.0,5.0
329,13.0,5.0
330,21.0,7.0
331,33.0,5.0
332,8.0,5.0
333,16.0,3.0
334,50.0,3.0
335,40.0,3.0
336,14.0,3.0
337,67.0,3.0
338,17.0,5.0
339,4.0,5.0
340,25.0,3.0
341,22.0,7.0
342,19.0,7.0
343,15.0,7.0
344,11.0,3.0
345,21.0,3.0
346,20.0,6.0
347,22.0,4.0
348,38.0,3.0
349,34.0,3.0
350,48.0,3.0
351,17.0,3.0
352,47.0,3.0
353,50.0,3.0
354,56.0,3.0
355,0.0,3.0
356,16.0,5.0
357,13.0,3.0
358,23.0,5.0
359,33.0,4.0
360,14.0,7.0
361,25.0,7.0
362,50.0,7.0
363,6.0,3.0
364,50.0,3.0
365,29.0,3.0
366,30.0,3.0
367,52.0,3.0
368,57.0,3.0
369,62.0,3.0
370,25.0,4.0
371,36.0,3.0
372,17.0,3.0
373,47.0,3.0
374,14.0,3.0
375,0.0,3.0
376,52.0,3.0
377,0.0,3.0
378,29.0,3.0
379,21.0,3.0
380,22.0,3.0
381,33.0,3.0
382,6.0,3.0
383,0.0,4.0
384,29.0,3.0
385,9.0,6.0
386,82.0,3.0
387,58.0,3.0
388,6.0,6.0
389,33.0,3.0
390,28.0,5.0
391,24.0,5.0
392,33.0,3.0
393,40.0,3.0
394,48.0,7.0
395,52.0,7.0
396,50.0,3.0
397,0.0,7.0
398,52.0,3.0
399,18.0,3.0
400,25.0,3.0
401,12.0,3.0
402,23.0,5.0
403,30.0,3.0
404,7.0,6.0
405,4.0,6.0
406,25.0,3.0
407,31.0,4.0
408,35.0,3.0
409,30.0,6.0
410,42.0,3.0
411,0.0,6.0
412,19.0,3.0
413,43.0,3.0
414,9.0,3.0
415,22.0,3.0
416,22.0,3.0
417,0.0,3.0
418,13.0,5.0
419,44.0,7.0
420,22.0,7.0
421,4.0,3.0
422,0.0,4.0
423,23.0,3.0
424,0.0,1.0
425,6.0,3.0
426,17.0,6.0
427,45.0,3.0
428,25.0,3.0
429,26.0,3.0
430,25.0,3.0
431,13.0,3.0
432,48.0,3.0
433,8.0,6.0
434,4.0,6.0
435,33.0,3.0
436,31.0,3.0
437,17.0,5.0
438,32.0,5.0
439,7.0,6.0
440,36.0,3.0
441,15.0,3.0
442,25.0,3.0
443,29.0,3.0
444,35.0,3.0
445,15.0,3.0
446,48.0,3.0
447,18.0,5.0
448,20.0,3.0
449,33.0,3.0
450,0.0,3.0
451,29.0,3.0
452,23.0,3.0
453,6.0,5.0
454,19.0,5.0
455,40.0,3.0
456,25.0,3.0
457,12.0,3.0
458,10.0,6.0
459,23.0,7.0
460,16.0,7.0
461,0.0,3.0
462,31.0,3.0
463,45.0,3.0
464,33.0,3.0
465,7.0,7.0
466,0.0,3.0
467,12.0,3.0
468,33.0,3.0
469,0.0,4.0
470,25.0,4.0
471,0.0,6.0
472,13.0,3.0
473,20.0,5.0
474,17.0,3.0
475,25.0,3.0
476,50.0,3.0
477,19.0,3.0
478,60.0,3.0
479,19.0,5.0
480,26.0,5.0
481,23.0,3.0
482,43.0,3.0
483,50.0,7.0
484,0.0,3.0
485,25.0,3.0
486,19.0,4.0
487,27.0,3.0
488,39.0,3.0
489,20.0,3.0
490,36.0,3.0
491,27.0,3.0
492,26.0,3.0
493,20.0,5.0
494,19.0,5.0
495,27.0,7.0
496,32.0,3.0
497,40.0,3.0
498,43.0,3.0
499,40.0,3.0
500,54.0,3.0
501,32.0,5.0
502,26.0,3.0
503,10.0,3.0
504,25.0,5.0
505,33.0,5.0
506,18.0,7.0
507,17.0,7.0
508,28.0,7.0
509,30.0,3.0
510,38.0,3.0
511,33.0,3.0
512,43.0,3.0
513,31.0,3.0
514,83.0,3.0
515,6.0,6.0
516,0.0,3.0
517,19.0,3.0
518,20.0,3.0
519,28.0,3.0
520,22.0,3.0
521,10.0,5.0
522,10.0,5.0
523,12.0,7.0
524,16.0,7.0
525,19.0,5.0
526,75.0,3.0
527,36.0,3.0
528,37.0,4.0
529,50.0,3.0
530,25.0,3.0
531,15.0,5.0
532,20.0,3.0
533,22.0,3.0
534,56.0,3.0
535,41.0,7.0
536,23.0,7.0
537,24.0,7.0
538,9.0,6.0
539,22.0,3.0
540,15.0,5.0
541,11.0,5.0
542,50.0,3.0
543,83.0,3.0
544,0.0,3.0
545,27.0,3.0
546,0.0,3.0
547,18.0,3.0
548,20.0,3.0
549,27.0,3.0
550,27.0,4.0
551,31.0,3.0
552,25.0,3.0
553,44.0,3.0
554,12.0,6.0
555,53.0,3.0
556,20.0,6.0
557,36.0,3.0
558,28.0,3.0
559,42.0,3.0
560,8.0,6.0
561,16.0,6.0
562,45.0,3.0
563,43.0,3.0
564,27.0,6.0
565,14.0,3.0
566,65.0,3.0
567,13.0,6.0
568,58.0,3.0
569,33.0,3.0
570,32.0,5.0
571,0.0,4.0
572,38.0,3.0
573,0.0,3.0
574,38.0,5.0
575,11.0,3.0
576,21.0,4.0
577,44.0,3.0
