i,pct_f,effectifs_candidats_total_accepte,effectifs_candidats_femmes_total_accepte
7998,46.0,22.0,10.0
7999,75.0,8.0,6.0
8000,100.0,2.0,2.0
8001,100.0,3.0,3.0
8002,60.0,25.0,15.0
8003,17.0,35.0,6.0
8004,93.0,15.0,14.0
8005,11.0,9.0,1.0
8006,57.0,7.0,4.0
8007,7.0,14.0,1.0
8008,0.0,13.0,0.0
8009,93.0,30.0,28.0
8010,57.0,7.0,4.0
8011,100.0,1.0,1.0
8012,50.0,2.0,1.0
8013,37.0,30.0,11.0
8014,0.0,2.0,0.0
8015,44.0,9.0,4.0
8016,46.0,13.0,6.0
8017,,0.0,0.0
8018,83.0,6.0,5.0
8019,13.0,15.0,2.0
8020,40.0,5.0,2.0
8021,39.0,72.0,28.0
8022,48.0,119.0,57.0
8023,70.0,27.0,19.0
8024,39.0,87.0,34.0
8025,28.0,51.0,14.0
8026,13.0,106.0,14.0
8027,23.0,88.0,20.0
8028,9.0,123.0,11.0
8029,13.0,267.0,34.0
8030,23.0,39.0,9.0
8031,0.0,7.0,0.0
8032,0.0,10.0,0.0
8033,0.0,3.0,0.0
8034,,0.0,0.0
8035,0.0,13.0,0.0
8036,15.0,81.0,12.0
8037,60.0,15.0,9.0
8038,65.0,31.0,20.0
8039,8.0,12.0,1.0
8040,4.0,76.0,3.0
8041,7.0,28.0,2.0
8042,22.0,23.0,5.0
8043,29.0,14.0,4.0
8044,15.0,39.0,6.0
8045,0.0,12.0,0.0
8046,31.0,26.0,8.0
8047,2.0,48.0,1.0
8048,40.0,30.0,12.0
8049,77.0,22.0,17.0
8050,63.0,8.0,5.0
8051,67.0,15.0,10.0
8052,44.0,78.0,34.0
8053,86.0,29.0,25.0
8054,57.0,30.0,17.0
8055,53.0,15.0,8.0
8056,62.0,13.0,8.0
8057,0.0,18.0,0.0
8058,68.0,19.0,13.0
8059,39.0,28.0,11.0
8060,88.0,17.0,15.0
8061,23.0,95.0,22.0
8062,50.0,34.0,17.0
8063,31.0,42.0,13.0
8064,51.0,39.0,20.0
8065,100.0,32.0,32.0
8066,2.0,101.0,2.0
8067,75.0,24.0,18.0
8068,46.0,11.0,5.0
8069,47.0,17.0,8.0
8070,55.0,29.0,16.0
8071,91.0,22.0,20.0
8072,46.0,26.0,12.0
8073,75.0,8.0,6.0
8074,44.0,32.0,14.0
8075,40.0,15.0,6.0
8076,55.0,31.0,17.0
8077,0.0,7.0,0.0
8078,24.0,109.0,26.0
8079,42.0,12.0,5.0
8080,75.0,57.0,43.0
8081,100.0,35.0,35.0
8082,44.0,23.0,10.0
8083,0.0,10.0,0.0
8084,63.0,49.0,31.0
8085,12.0,52.0,6.0
8086,44.0,84.0,37.0
8087,10.0,21.0,2.0
8088,19.0,27.0,5.0
8089,71.0,49.0,35.0
8090,15.0,92.0,14.0
8091,55.0,33.0,18.0
8092,61.0,33.0,20.0
8093,68.0,38.0,26.0
8094,8.0,13.0,1.0
8095,75.0,20.0,15.0
8096,94.0,18.0,17.0
8097,14.0,35.0,5.0
