i,pct_f,effectifs_candidats_total_accepte,effectifs_candidats_femmes_total_accepte
0,51.0,71.0,36.0
1,20.0,123.0,24.0
2,16.0,58.0,9.0
3,26.0,181.0,47.0
4,32.0,143.0,46.0
5,25.0,110.0,28.0
6,30.0,54.0,16.0
7,13.0,76.0,10.0
8,8.0,13.0,1.0
9,44.0,250.0,110.0
10,12.0,41.0,5.0
11,17.0,120.0,20.0
12,30.0,168.0,51.0
13,30.0,80.0,24.0
14,12.0,16.0,2.0
15,0.0,4.0,0.0
16,0.0,6.0,0.0
17,9.0,57.0,5.0
18,0.0,6.0,0.0
19,59.0,41.0,24.0
20,4.0,24.0,1.0
21,29.0,51.0,15.0
22,50.0,20.0,10.0
23,5.0,21.0,1.0
24,12.0,8.0,1.0
25,38.0,21.0,8.0
26,21.0,14.0,3.0
27,55.0,31.0,17.0
28,0.0,13.0,0.0
29,62.0,26.0,16.0
30,36.0,14.0,5.0
31,33.0,111.0,37.0
32,13.0,15.0,2.0
33,9.0,11.0,1.0
34,0.0,4.0,0.0
35,0.0,12.0,0.0
36,83.0,12.0,10.0
37,8.0,38.0,3.0
38,55.0,110.0,60.0
39,33.0,15.0,5.0
40,0.0,8.0,0.0
41,35.0,37.0,13.0
42,76.0,21.0,16.0
43,50.0,8.0,4.0
44,7.0,15.0,1.0
45,56.0,25.0,14.0
46,50.0,28.0,14.0
47,61.0,31.0,19.0
48,76.0,45.0,34.0
49,70.0,53.0,37.0
50,26.0,39.0,10.0
51,29.0,34.0,10.0
52,75.0,24.0,18.0
53,42.0,12.0,5.0
54,64.0,11.0,7.0
55,60.0,134.0,81.0
56,59.0,58.0,34.0
57,0.0,16.0,0.0
58,0.0,21.0,0.0
59,30.0,70.0,21.0
60,60.0,110.0,66.0
61,0.0,6.0,0.0
62,50.0,24.0,12.0
63,43.0,14.0,6.0
64,0.0,9.0,0.0
65,42.0,52.0,22.0
66,43.0,58.0,25.0
67,94.0,17.0,16.0
68,38.0,32.0,12.0
69,0.0,8.0,0.0
70,24.0,38.0,9.0
71,0.0,7.0,0.0
72,0.0,6.0,0.0
73,82.0,22.0,18.0
74,64.0,44.0,28.0
75,88.0,32.0,28.0
76,9.0,22.0,2.0
77,49.0,35.0,17.0
78,0.0,0.0,0.0
79,6.0,49.0,3.0
80,88.0,24.0,21.0
81,81.0,31.0,25.0
82,48.0,31.0,15.0
83,66.0,47.0,31.0
84,64.0,33.0,21.0
85,28.0,93.0,26.0
86,70.0,44.0,31.0
87,57.0,30.0,17.0
88,8.0,26.0,2.0
89,8.0,12.0,1.0
90,74.0,19.0,14.0
91,6.0,31.0,2.0
92,9.0,11.0,1.0
93,91.0,23.0,21.0
94,40.0,30.0,12.0
95,46.0,26.0,12.0
96,56.0,25.0,14.0
97,75.0,8.0,6.0
98,21.0,33.0,7.0
99,25.0,28.0,7.0
100,47.0,15.0,7.0
101,47.0,51.0,24.0
102,81.0,21.0,17.0
103,23.0,94.0,22.0
104,36.0,91.0,33.0
105,70.0,270.0,189.0
106,29.0,28.0,8.0
107,61.0,28.0,17.0
108,0.0,34.0,0.0
109,0.0,30.0,0.0
110,44.0,25.0,11.0
111,16.0,63.0,10.0
112,54.0,35.0,19.0
113,50.0,34.0,17.0
114,79.0,38.0,30.0
115,68.0,25.0,17.0
116,5.0,21.0,1.0
117,31.0,32.0,10.0
118,60.0,30.0,18.0
119,52.0,108.0,56.0
120,0.0,4.0,0.0
121,50.0,18.0,9.0
122,8.0,159.0,12.0
123,64.0,291.0,186.0
124,5.0,22.0,1.0
125,45.0,22.0,10.0
126,0.0,0.0,0.0
127,36.0,91.0,33.0
128,5.0,22.0,1.0
129,64.0,22.0,14.0
130,5.0,81.0,4.0
131,11.0,27.0,3.0
132,78.0,23.0,18.0
133,20.0,10.0,2.0
134,88.0,16.0,14.0
135,46.0,13.0,6.0
136,43.0,7.0,3.0
137,74.0,27.0,20.0
138,67.0,15.0,10.0
139,83.0,24.0,20.0
140,53.0,87.0,46.0
141,54.0,37.0,20.0
142,0.0,13.0,0.0
143,66.0,32.0,21.0
144,41.0,194.0,79.0
145,30.0,37.0,11.0
146,36.0,47.0,17.0
147,73.0,15.0,11.0
148,53.0,30.0,16.0
149,0.0,4.0,0.0
150,73.0,11.0,8.0
151,0.0,8.0,0.0
152,14.0,102.0,14.0
153,0.0,6.0,0.0
154,7.0,14.0,1.0
155,38.0,16.0,6.0
156,31.0,67.0,21.0
157,6.0,16.0,1.0
158,79.0,19.0,15.0
159,14.0,49.0,7.0
160,30.0,125.0,37.0
161,82.0,33.0,27.0
162,66.0,71.0,47.0
163,0.0,9.0,0.0
164,70.0,23.0,16.0
165,38.0,34.0,13.0
166,67.0,24.0,16.0
167,73.0,15.0,11.0
168,21.0,68.0,14.0
169,85.0,47.0,40.0
170,6.0,16.0,1.0
171,53.0,32.0,17.0
172,48.0,31.0,15.0
173,23.0,64.0,15.0
174,67.0,3.0,2.0
175,5.0,22.0,1.0
176,55.0,20.0,11.0
177,10.0,30.0,3.0
178,41.0,27.0,11.0
179,100.0,22.0,22.0
180,6.0,18.0,1.0
181,70.0,23.0,16.0
182,44.0,16.0,7.0
183,6.0,72.0,4.0
184,36.0,56.0,20.0
185,43.0,28.0,12.0
186,0.0,22.0,0.0
187,50.0,6.0,3.0
188,76.0,25.0,19.0
189,65.0,82.0,53.0
190,6.0,16.0,1.0
191,72.0,54.0,39.0
192,97.0,29.0,28.0
193,13.0,23.0,3.0
194,12.0,17.0,2.0
195,17.0,12.0,2.0
196,8.0,90.0,7.0
197,72.0,92.0,66.0
198,71.0,14.0,10.0
199,64.0,137.0,88.0
200,100.0,1.0,1.0
201,68.0,77.0,52.0
202,45.0,20.0,9.0
203,76.0,21.0,16.0
204,31.0,29.0,9.0
205,0.0,21.0,0.0
206,50.0,143.0,71.0
207,78.0,51.0,40.0
208,12.0,32.0,4.0
209,42.0,31.0,13.0
210,45.0,11.0,5.0
211,15.0,26.0,4.0
212,75.0,16.0,12.0
213,3.0,30.0,1.0
214,11.0,45.0,5.0
215,53.0,17.0,9.0
216,69.0,67.0,46.0
217,0.0,11.0,0.0
218,3.0,29.0,1.0
219,21.0,33.0,7.0
220,39.0,33.0,13.0
221,4.0,24.0,1.0
222,67.0,46.0,31.0
223,80.0,15.0,12.0
224,76.0,50.0,38.0
225,91.0,32.0,29.0
226,22.0,9.0,2.0
227,82.0,543.0,443.0
228,50.0,10.0,5.0
229,61.0,18.0,11.0
230,14.0,22.0,3.0
231,17.0,24.0,4.0
232,22.0,45.0,10.0
233,62.0,47.0,29.0
234,6.0,18.0,1.0
235,0.0,12.0,0.0
236,81.0,31.0,25.0
237,67.0,6.0,4.0
238,27.0,37.0,10.0
239,78.0,46.0,36.0
240,29.0,14.0,4.0
241,18.0,125.0,23.0
242,75.0,16.0,12.0
243,79.0,89.0,70.0
244,50.0,262.0,130.0
245,74.0,160.0,118.0
246,47.0,19.0,9.0
247,45.0,93.0,42.0
248,79.0,47.0,37.0
249,31.0,94.0,29.0
250,44.0,43.0,19.0
251,48.0,29.0,14.0
252,71.0,31.0,22.0
253,92.0,37.0,34.0
254,41.0,39.0,16.0
255,89.0,27.0,24.0
256,90.0,122.0,110.0
257,12.0,133.0,16.0
258,40.0,380.0,151.0
259,86.0,37.0,32.0
260,43.0,37.0,16.0
261,71.0,48.0,34.0
262,17.0,12.0,2.0
263,77.0,35.0,27.0
264,71.0,14.0,10.0
265,87.0,23.0,20.0
266,34.0,397.0,136.0
267,70.0,244.0,172.0
268,36.0,248.0,89.0
269,8.0,247.0,19.0
270,1.0,77.0,1.0
271,73.0,30.0,22.0
272,45.0,11.0,5.0
273,4.0,26.0,1.0
274,12.0,17.0,2.0
275,5.0,20.0,1.0
276,4.0,26.0,1.0
277,25.0,12.0,3.0
278,30.0,64.0,19.0
279,25.0,95.0,24.0
280,78.0,89.0,69.0
281,58.0,31.0,18.0
282,57.0,30.0,17.0
283,46.0,26.0,12.0
284,25.0,75.0,19.0
285,16.0,19.0,3.0
286,67.0,24.0,16.0
287,34.0,299.0,101.0
288,67.0,3.0,2.0
289,56.0,133.0,75.0
290,100.0,16.0,16.0
291,69.0,29.0,20.0
292,29.0,14.0,4.0
293,100.0,8.0,8.0
294,33.0,586.0,192.0
295,69.0,140.0,96.0
296,5.0,21.0,1.0
297,62.0,47.0,29.0
298,59.0,34.0,20.0
299,73.0,105.0,77.0
300,3.0,92.0,3.0
301,59.0,105.0,62.0
302,90.0,20.0,18.0
303,54.0,293.0,159.0
304,68.0,234.0,158.0
305,67.0,9.0,6.0
306,95.0,21.0,20.0
307,27.0,11.0,3.0
308,70.0,30.0,21.0
309,5.0,19.0,1.0
310,0.0,8.0,0.0
311,0.0,23.0,0.0
312,63.0,192.0,121.0
313,30.0,27.0,8.0
314,27.0,143.0,38.0
315,7.0,27.0,2.0
316,47.0,34.0,16.0
317,53.0,49.0,26.0
318,0.0,15.0,0.0
319,47.0,58.0,27.0
320,72.0,18.0,13.0
321,68.0,286.0,194.0
322,64.0,81.0,52.0
323,87.0,15.0,13.0
324,26.0,19.0,5.0
325,12.0,26.0,3.0
326,56.0,32.0,18.0
327,8.0,26.0,2.0
328,36.0,118.0,43.0
329,44.0,18.0,8.0
330,59.0,73.0,43.0
331,13.0,15.0,2.0
332,59.0,27.0,16.0
333,0.0,25.0,0.0
334,14.0,29.0,4.0
335,17.0,12.0,2.0
336,100.0,6.0,6.0
337,6.0,78.0,5.0
338,79.0,28.0,22.0
339,25.0,8.0,2.0
340,86.0,163.0,140.0
341,87.0,419.0,365.0
342,31.0,36.0,11.0
343,67.0,12.0,8.0
344,11.0,18.0,2.0
345,55.0,22.0,12.0
346,54.0,39.0,21.0
347,4.0,23.0,1.0
348,16.0,31.0,5.0
349,84.0,31.0,26.0
350,41.0,41.0,17.0
351,55.0,31.0,17.0
352,0.0,18.0,0.0
353,58.0,19.0,11.0
354,7.0,14.0,1.0
355,1.0,103.0,1.0
356,52.0,31.0,16.0
357,68.0,25.0,17.0
358,54.0,41.0,22.0
359,46.0,118.0,54.0
360,69.0,29.0,20.0
361,50.0,4.0,2.0
362,52.0,33.0,17.0
363,38.0,8.0,3.0
364,71.0,7.0,5.0
365,40.0,10.0,4.0
366,50.0,30.0,15.0
367,29.0,24.0,7.0
368,76.0,29.0,22.0
369,40.0,20.0,8.0
370,38.0,16.0,6.0
371,5.0,19.0,1.0
372,73.0,26.0,19.0
373,47.0,15.0,7.0
374,62.0,8.0,5.0
375,68.0,25.0,17.0
376,31.0,16.0,5.0
377,33.0,9.0,3.0
378,8.0,25.0,2.0
379,90.0,20.0,18.0
380,0.0,12.0,0.0
381,78.0,18.0,14.0
382,60.0,30.0,18.0
383,48.0,23.0,11.0
384,74.0,35.0,26.0
385,72.0,25.0,18.0
386,67.0,18.0,12.0
387,0.0,18.0,0.0
388,4.0,23.0,1.0
389,12.0,59.0,7.0
390,49.0,153.0,75.0
391,55.0,11.0,6.0
392,60.0,5.0,3.0
393,82.0,34.0,28.0
394,73.0,119.0,87.0
395,0.0,12.0,0.0
396,19.0,21.0,4.0
397,39.0,28.0,11.0
398,4.0,27.0,1.0
399,75.0,8.0,6.0
400,6.0,17.0,1.0
401,61.0,44.0,27.0
402,74.0,27.0,20.0
403,25.0,97.0,24.0
404,83.0,48.0,40.0
405,0.0,12.0,0.0
406,46.0,41.0,19.0
407,5.0,22.0,1.0
408,23.0,22.0,5.0
409,47.0,32.0,15.0
410,65.0,26.0,17.0
411,53.0,17.0,9.0
412,44.0,27.0,12.0
413,19.0,26.0,5.0
414,70.0,10.0,7.0
415,26.0,23.0,6.0
416,38.0,13.0,5.0
417,56.0,161.0,90.0
418,85.0,13.0,11.0
419,38.0,127.0,48.0
420,4.0,28.0,1.0
421,0.0,0.0,0.0
422,47.0,19.0,9.0
423,28.0,18.0,5.0
424,64.0,39.0,25.0
425,63.0,35.0,22.0
426,33.0,12.0,4.0
427,59.0,32.0,19.0
428,93.0,29.0,27.0
429,100.0,20.0,20.0
430,54.0,28.0,15.0
431,72.0,40.0,29.0
432,57.0,28.0,16.0
433,79.0,24.0,19.0
434,0.0,30.0,0.0
435,62.0,82.0,51.0
436,54.0,132.0,71.0
437,68.0,31.0,21.0
438,57.0,14.0,8.0
439,22.0,18.0,4.0
440,0.0,8.0,0.0
441,0.0,16.0,0.0
442,81.0,26.0,21.0
443,0.0,20.0,0.0
444,32.0,25.0,8.0
445,61.0,92.0,56.0
446,20.0,20.0,4.0
447,27.0,11.0,3.0
448,55.0,11.0,6.0
449,55.0,22.0,12.0
450,13.0,39.0,5.0
451,78.0,41.0,32.0
452,94.0,49.0,46.0
453,78.0,23.0,18.0
454,9.0,34.0,3.0
455,74.0,19.0,14.0
456,67.0,39.0,26.0
457,44.0,66.0,29.0
458,58.0,238.0,138.0
459,50.0,10.0,5.0
460,80.0,35.0,28.0
461,44.0,34.0,15.0
462,0.0,8.0,0.0
463,31.0,257.0,80.0
464,0.0,0.0,0.0
465,4.0,26.0,1.0
466,67.0,9.0,6.0
467,54.0,13.0,7.0
468,31.0,13.0,4.0
469,12.0,34.0,4.0
470,42.0,24.0,10.0
471,49.0,73.0,36.0
472,0.0,6.0,0.0
473,7.0,14.0,1.0
474,75.0,32.0,24.0
475,54.0,26.0,14.0
476,81.0,27.0,22.0
477,19.0,129.0,24.0
478,16.0,55.0,9.0
479,79.0,34.0,27.0
480,9.0,11.0,1.0
481,30.0,40.0,12.0
482,11.0,19.0,2.0
483,37.0,19.0,7.0
484,22.0,18.0,4.0
485,86.0,14.0,12.0
486,91.0,32.0,29.0
487,12.0,8.0,1.0
488,25.0,16.0,4.0
489,63.0,19.0,12.0
490,48.0,23.0,11.0
491,70.0,77.0,54.0
492,45.0,119.0,54.0
493,53.0,30.0,16.0
494,69.0,35.0,24.0
495,0.0,11.0,0.0
496,76.0,17.0,13.0
497,28.0,18.0,5.0
498,39.0,18.0,7.0
499,10.0,39.0,4.0
500,67.0,30.0,20.0
501,0.0,11.0,0.0
502,6.0,128.0,8.0
503,57.0,157.0,90.0
504,31.0,354.0,109.0
505,0.0,2.0,0.0
506,83.0,6.0,5.0
507,88.0,108.0,95.0
508,26.0,35.0,9.0
509,0.0,13.0,0.0
510,60.0,25.0,15.0
511,12.0,34.0,4.0
512,100.0,16.0,16.0
513,57.0,7.0,4.0
514,28.0,36.0,10.0
515,43.0,7.0,3.0
516,59.0,34.0,20.0
517,9.0,11.0,1.0
518,88.0,24.0,21.0
519,55.0,38.0,21.0
520,46.0,162.0,74.0
521,4.0,48.0,2.0
522,96.0,24.0,23.0
523,49.0,130.0,64.0
524,40.0,25.0,10.0
525,30.0,23.0,7.0
526,48.0,33.0,16.0
527,56.0,39.0,22.0
528,10.0,21.0,2.0
529,11.0,9.0,1.0
530,3.0,68.0,2.0
531,91.0,11.0,10.0
532,47.0,17.0,8.0
533,57.0,23.0,13.0
534,46.0,322.0,147.0
535,41.0,61.0,25.0
536,58.0,50.0,29.0
537,25.0,20.0,5.0
538,75.0,28.0,21.0
539,25.0,32.0,8.0
540,0.0,12.0,0.0
541,12.0,8.0,1.0
542,62.0,13.0,8.0
543,5.0,20.0,1.0
544,86.0,14.0,12.0
545,100.0,4.0,4.0
546,7.0,27.0,2.0
547,36.0,11.0,4.0
548,62.0,8.0,5.0
549,0.0,12.0,0.0
550,42.0,12.0,5.0
551,58.0,19.0,11.0
552,57.0,14.0,8.0
553,69.0,13.0,9.0
554,82.0,44.0,36.0
555,50.0,22.0,11.0
556,37.0,43.0,16.0
557,62.0,29.0,18.0
558,50.0,34.0,17.0
559,44.0,16.0,7.0
560,37.0,90.0,33.0
561,78.0,146.0,114.0
562,0.0,13.0,0.0
563,35.0,46.0,16.0
564,65.0,17.0,11.0
565,46.0,13.0,6.0
566,39.0,31.0,12.0
567,21.0,72.0,15.0
568,75.0,61.0,46.0
569,30.0,30.0,9.0
570,56.0,71.0,40.0
571,50.0,2.0,1.0
572,33.0,15.0,5.0
573,10.0,10.0,1.0
574,53.0,151.0,80.0
575,68.0,41.0,28.0
576,22.0,23.0,5.0
577,14.0,21.0,3.0
578,62.0,13.0,8.0
579,25.0,12.0,3.0
580,40.0,15.0,6.0
581,22.0,54.0,12.0
582,20.0,30.0,6.0
583,62.0,29.0,18.0
584,69.0,16.0,11.0
585,41.0,363.0,148.0
586,29.0,93.0,27.0
587,19.0,62.0,12.0
588,48.0,29.0,14.0
589,14.0,29.0,4.0
590,34.0,29.0,10.0
591,64.0,25.0,16.0
592,7.0,75.0,5.0
593,69.0,16.0,11.0
594,62.0,8.0,5.0
595,61.0,31.0,19.0
596,81.0,27.0,22.0
597,58.0,69.0,40.0
598,93.0,15.0,14.0
599,40.0,5.0,2.0
600,52.0,31.0,16.0
601,14.0,7.0,1.0
602,50.0,54.0,27.0
603,63.0,46.0,29.0
604,0.0,31.0,0.0
605,33.0,12.0,4.0
606,8.0,24.0,2.0
607,12.0,8.0,1.0
608,65.0,34.0,22.0
609,52.0,29.0,15.0
610,4.0,27.0,1.0
611,46.0,13.0,6.0
612,48.0,21.0,10.0
613,67.0,21.0,14.0
614,33.0,18.0,6.0
615,73.0,55.0,40.0
616,100.0,42.0,42.0
617,55.0,11.0,6.0
618,50.0,24.0,12.0
619,52.0,21.0,11.0
620,0.0,6.0,0.0
621,96.0,28.0,27.0
622,51.0,51.0,26.0
623,96.0,25.0,24.0
624,10.0,21.0,2.0
625,30.0,20.0,6.0
626,61.0,28.0,17.0
627,85.0,20.0,17.0
628,54.0,46.0,25.0
629,20.0,25.0,5.0
630,94.0,33.0,31.0
631,7.0,96.0,7.0
632,59.0,29.0,17.0
633,40.0,73.0,29.0
634,37.0,155.0,58.0
635,36.0,14.0,5.0
636,62.0,24.0,15.0
637,51.0,113.0,58.0
638,23.0,88.0,20.0
639,4.0,27.0,1.0
640,97.0,31.0,30.0
641,0.0,22.0,0.0
642,58.0,19.0,11.0
643,30.0,23.0,7.0
644,72.0,29.0,21.0
645,2.0,43.0,1.0
646,75.0,12.0,9.0
647,87.0,94.0,82.0
648,6.0,31.0,2.0
649,21.0,19.0,4.0
650,46.0,13.0,6.0
651,54.0,13.0,7.0
652,37.0,76.0,28.0
653,14.0,14.0,2.0
654,43.0,21.0,9.0
655,41.0,22.0,9.0
656,9.0,67.0,6.0
657,59.0,96.0,57.0
658,33.0,27.0,9.0
659,67.0,9.0,6.0
660,72.0,295.0,212.0
661,11.0,57.0,6.0
662,26.0,47.0,12.0
663,40.0,48.0,19.0
664,29.0,24.0,7.0
665,39.0,23.0,9.0
666,9.0,11.0,1.0
667,59.0,17.0,10.0
668,0.0,3.0,0.0
669,35.0,40.0,14.0
670,0.0,8.0,0.0
671,40.0,15.0,6.0
672,0.0,9.0,0.0
673,63.0,79.0,50.0
674,30.0,63.0,19.0
675,25.0,8.0,2.0
676,86.0,29.0,25.0
677,52.0,29.0,15.0
678,31.0,13.0,4.0
679,20.0,15.0,3.0
680,62.0,21.0,13.0
681,93.0,28.0,26.0
682,33.0,30.0,10.0
683,15.0,20.0,3.0
684,61.0,56.0,34.0
685,7.0,15.0,1.0
686,84.0,31.0,26.0
687,70.0,27.0,19.0
688,34.0,29.0,10.0
689,60.0,15.0,9.0
690,26.0,27.0,7.0
691,39.0,95.0,37.0
692,87.0,38.0,33.0
693,20.0,299.0,59.0
694,25.0,48.0,12.0
695,57.0,294.0,169.0
696,76.0,105.0,80.0
697,52.0,21.0,11.0
698,48.0,61.0,29.0
699,75.0,32.0,24.0
700,4.0,25.0,1.0
701,58.0,33.0,19.0
702,62.0,21.0,13.0
703,46.0,13.0,6.0
704,29.0,55.0,16.0
705,71.0,34.0,24.0
706,68.0,28.0,19.0
707,9.0,11.0,1.0
708,84.0,44.0,37.0
709,68.0,28.0,19.0
710,41.0,34.0,14.0
711,71.0,31.0,22.0
712,78.0,9.0,7.0
713,65.0,26.0,17.0
714,96.0,23.0,22.0
715,41.0,41.0,17.0
716,0.0,6.0,0.0
717,0.0,4.0,0.0
718,26.0,46.0,12.0
719,8.0,36.0,3.0
720,59.0,22.0,13.0
721,76.0,29.0,22.0
722,71.0,17.0,12.0
723,76.0,37.0,28.0
724,3.0,30.0,1.0
725,43.0,21.0,9.0
726,68.0,25.0,17.0
727,52.0,25.0,13.0
728,58.0,31.0,18.0
729,41.0,32.0,13.0
730,75.0,28.0,21.0
731,33.0,3.0,1.0
732,57.0,30.0,17.0
733,30.0,30.0,9.0
734,67.0,223.0,150.0
735,69.0,16.0,11.0
736,23.0,22.0,5.0
737,0.0,0.0,0.0
738,0.0,13.0,0.0
739,67.0,21.0,14.0
740,35.0,20.0,7.0
741,24.0,72.0,17.0
742,58.0,84.0,49.0
743,60.0,20.0,12.0
744,0.0,4.0,0.0
745,45.0,20.0,9.0
746,57.0,28.0,16.0
747,27.0,11.0,3.0
748,50.0,12.0,6.0
749,55.0,20.0,11.0
750,9.0,11.0,1.0
751,64.0,14.0,9.0
752,1.0,71.0,1.0
753,23.0,35.0,8.0
754,68.0,41.0,28.0
755,52.0,27.0,14.0
756,71.0,31.0,22.0
757,0.0,12.0,0.0
758,50.0,30.0,15.0
759,41.0,34.0,14.0
760,60.0,5.0,3.0
761,0.0,4.0,0.0
762,55.0,55.0,30.0
763,11.0,9.0,1.0
764,96.0,24.0,23.0
765,3.0,32.0,1.0
766,13.0,15.0,2.0
767,33.0,15.0,5.0
768,30.0,10.0,3.0
769,0.0,14.0,0.0
770,85.0,13.0,11.0
771,57.0,35.0,20.0
772,0.0,8.0,0.0
773,85.0,13.0,11.0
774,23.0,26.0,6.0
775,85.0,20.0,17.0
776,5.0,22.0,1.0
777,0.0,22.0,0.0
778,36.0,22.0,8.0
779,78.0,18.0,14.0
780,4.0,24.0,1.0
781,50.0,14.0,7.0
782,6.0,85.0,5.0
783,57.0,35.0,20.0
784,0.0,13.0,0.0
785,21.0,24.0,5.0
786,23.0,43.0,10.0
787,50.0,44.0,22.0
788,65.0,17.0,11.0
789,44.0,48.0,21.0
790,70.0,203.0,143.0
791,68.0,47.0,32.0
792,78.0,150.0,117.0
793,21.0,140.0,30.0
794,83.0,42.0,35.0
795,30.0,92.0,28.0
796,78.0,18.0,14.0
797,77.0,22.0,17.0
798,57.0,30.0,17.0
799,36.0,33.0,12.0
800,16.0,51.0,8.0
801,0.0,2.0,0.0
802,37.0,67.0,25.0
803,50.0,24.0,12.0
804,0.0,29.0,0.0
805,67.0,36.0,24.0
806,55.0,20.0,11.0
807,7.0,28.0,2.0
808,24.0,34.0,8.0
809,26.0,42.0,11.0
810,41.0,139.0,57.0
811,62.0,50.0,31.0
812,59.0,68.0,40.0
813,62.0,24.0,15.0
814,4.0,25.0,1.0
815,71.0,34.0,24.0
816,4.0,27.0,1.0
817,78.0,23.0,18.0
818,48.0,172.0,83.0
819,76.0,33.0,25.0
820,50.0,68.0,34.0
821,77.0,128.0,99.0
822,74.0,115.0,85.0
823,70.0,71.0,50.0
824,37.0,160.0,59.0
825,69.0,163.0,112.0
826,53.0,58.0,31.0
827,67.0,36.0,24.0
828,50.0,2.0,1.0
829,53.0,36.0,19.0
830,60.0,83.0,50.0
831,17.0,94.0,16.0
832,55.0,33.0,18.0
833,38.0,21.0,8.0
834,84.0,19.0,16.0
835,39.0,46.0,18.0
836,28.0,25.0,7.0
837,41.0,27.0,11.0
838,27.0,26.0,7.0
839,19.0,167.0,31.0
840,67.0,27.0,18.0
841,30.0,20.0,6.0
842,20.0,20.0,4.0
843,30.0,27.0,8.0
844,57.0,23.0,13.0
845,0.0,7.0,0.0
846,0.0,8.0,0.0
847,61.0,18.0,11.0
848,53.0,17.0,9.0
849,76.0,34.0,26.0
850,14.0,29.0,4.0
851,62.0,34.0,21.0
852,4.0,28.0,1.0
853,94.0,18.0,17.0
854,5.0,63.0,3.0
855,77.0,13.0,10.0
856,4.0,51.0,2.0
857,94.0,50.0,47.0
858,47.0,19.0,9.0
859,78.0,9.0,7.0
860,21.0,90.0,19.0
861,12.0,8.0,1.0
862,56.0,34.0,19.0
863,8.0,12.0,1.0
864,7.0,14.0,1.0
865,52.0,29.0,15.0
866,85.0,33.0,28.0
867,20.0,25.0,5.0
868,4.0,24.0,1.0
869,29.0,35.0,10.0
870,5.0,22.0,1.0
871,70.0,27.0,19.0
872,19.0,36.0,7.0
873,72.0,18.0,13.0
874,14.0,59.0,8.0
875,53.0,15.0,8.0
876,39.0,28.0,11.0
877,44.0,9.0,4.0
878,65.0,23.0,15.0
879,50.0,16.0,8.0
880,43.0,30.0,13.0
881,65.0,23.0,15.0
882,53.0,34.0,18.0
883,32.0,28.0,9.0
884,44.0,27.0,12.0
885,39.0,31.0,12.0
886,71.0,28.0,20.0
887,5.0,22.0,1.0
888,73.0,22.0,16.0
889,59.0,32.0,19.0
890,8.0,86.0,7.0
891,4.0,47.0,2.0
892,69.0,107.0,74.0
893,39.0,69.0,27.0
894,30.0,66.0,20.0
895,41.0,249.0,103.0
896,39.0,36.0,14.0
897,62.0,26.0,16.0
898,12.0,17.0,2.0
899,67.0,263.0,175.0
900,9.0,55.0,5.0
901,33.0,147.0,48.0
902,8.0,50.0,4.0
903,53.0,58.0,31.0
904,38.0,24.0,9.0
905,0.0,21.0,0.0
906,83.0,29.0,24.0
907,5.0,20.0,1.0
908,86.0,29.0,25.0
909,52.0,33.0,17.0
910,76.0,41.0,31.0
911,56.0,27.0,15.0
912,55.0,11.0,6.0
913,62.0,13.0,8.0
914,34.0,29.0,10.0
915,34.0,56.0,19.0
916,50.0,2.0,1.0
917,66.0,95.0,63.0
918,57.0,14.0,8.0
919,39.0,33.0,13.0
920,58.0,24.0,14.0
921,6.0,148.0,9.0
922,49.0,201.0,98.0
923,43.0,7.0,3.0
924,0.0,12.0,0.0
925,23.0,30.0,7.0
926,57.0,37.0,21.0
927,57.0,30.0,17.0
928,0.0,19.0,0.0
929,68.0,19.0,13.0
930,7.0,15.0,1.0
931,63.0,35.0,22.0
932,5.0,21.0,1.0
933,53.0,36.0,19.0
934,37.0,46.0,17.0
935,30.0,33.0,10.0
936,31.0,26.0,8.0
937,31.0,16.0,5.0
938,64.0,74.0,47.0
939,74.0,82.0,61.0
940,45.0,78.0,35.0
941,60.0,5.0,3.0
942,47.0,19.0,9.0
943,71.0,21.0,15.0
944,38.0,56.0,21.0
945,46.0,162.0,75.0
946,75.0,101.0,76.0
947,22.0,41.0,9.0
948,0.0,4.0,0.0
949,14.0,35.0,5.0
950,56.0,27.0,15.0
951,31.0,80.0,25.0
952,4.0,24.0,1.0
953,36.0,11.0,4.0
954,68.0,25.0,17.0
955,89.0,36.0,32.0
956,38.0,16.0,6.0
957,13.0,15.0,2.0
958,33.0,33.0,11.0
959,46.0,13.0,6.0
960,64.0,130.0,83.0
961,70.0,105.0,73.0
962,56.0,97.0,54.0
963,0.0,14.0,0.0
964,32.0,19.0,6.0
965,47.0,17.0,8.0
966,82.0,22.0,18.0
967,60.0,5.0,3.0
968,0.0,6.0,0.0
969,38.0,8.0,3.0
970,22.0,9.0,2.0
971,22.0,9.0,2.0
972,93.0,29.0,27.0
973,0.0,8.0,0.0
974,50.0,28.0,14.0
975,25.0,48.0,12.0
976,7.0,54.0,4.0
977,17.0,6.0,1.0
978,30.0,33.0,10.0
979,38.0,32.0,12.0
980,66.0,38.0,25.0
981,83.0,24.0,20.0
982,13.0,30.0,4.0
983,8.0,25.0,2.0
984,4.0,24.0,1.0
985,9.0,80.0,7.0
986,42.0,26.0,11.0
987,35.0,26.0,9.0
988,53.0,17.0,9.0
989,80.0,10.0,8.0
990,52.0,31.0,16.0
991,5.0,21.0,1.0
992,41.0,17.0,7.0
993,7.0,15.0,1.0
994,22.0,9.0,2.0
995,0.0,3.0,0.0
996,25.0,12.0,3.0
