capacite_totale_region,nom_region
379.0,21.0
19147.0,2.0
1275.0,16.0
21237.0,9.0
1769.0,14.0
9211.0,3.0
1071.0,18.0
54588.0,7.0
8455.0,11.0
22229.0,4.0
34103.0,6.0
15048.0,10.0
1016.0,19.0
4388.0,17.0
11790.0,12.0
23526.0,1.0
1200.0,13.0
1635.0,15.0
18.0,20.0
14938.0,8.0
27120.0,5.0
